ProjectedPoints: 9.4, Player: Chase Edmonds, Position: RB, PosRank: 60, InjuryStatus: ACTIVE, PercentOwned: 26.14, PercentStarted: 2.55
ProjectedPoints: 8.99, Player: Michael Gallup, Position: WR, PosRank: 67, InjuryStatus: ACTIVE, PercentOwned: 54.73, PercentStarted: 12.61
ProjectedPoints: 8.96, Player: Taysom Hill, Position: TE, PosRank: 7, InjuryStatus: ACTIVE, PercentOwned: 45.29, PercentStarted: 16.8
ProjectedPoints: 8.84, Player: Hunter Henry, Position: TE, PosRank: 22, InjuryStatus: ACTIVE, PercentOwned: 28.43, PercentStarted: 8.9
ProjectedPoints: 8.69, Player: Chris Boswell, Position: K, PosRank: 31, InjuryStatus: ACTIVE, PercentOwned: 29.42, PercentStarted: 24.97
ProjectedPoints: 8.22, Player: Marquez Valdes-Scantling, Position: WR, PosRank: 54, InjuryStatus: ACTIVE, PercentOwned: 46.98, PercentStarted: 6.74
ProjectedPoints: 8.09, Player: Juwan Johnson, Position: TE, PosRank: 15, InjuryStatus: ACTIVE, PercentOwned: 22.16, PercentStarted: 7.35
ProjectedPoints: 8.06, Player: Brandon McManus, Position: K, PosRank: 17, InjuryStatus: ACTIVE, PercentOwned: 53.51, PercentStarted: 44.02
ProjectedPoints: 7.7, Player: Hayden Hurst, Position: TE, PosRank: 21, InjuryStatus: ACTIVE, PercentOwned: 38.65, PercentStarted: 7.22
ProjectedPoints: 7.45, Player: Tyler Boyd, Position: WR, PosRank: 38, InjuryStatus: ACTIVE, PercentOwned: 70.63, PercentStarted: 10.2
ProjectedPoints: 7.31, Player: Matt Gay, Position: K, PosRank: 14, InjuryStatus: ACTIVE, PercentOwned: 39.98, PercentStarted: 30.61
ProjectedPoints: 7.17, Player: Isaiah McKenzie, Position: WR, PosRank: 55, InjuryStatus: QUESTIONABLE, PercentOwned: 22.52, PercentStarted: 4.73
ProjectedPoints: 7.0, Player: Cairo Santos, Position: K, PosRank: 27, InjuryStatus: ACTIVE, PercentOwned: 22.91, PercentStarted: 10.21
